column,line,amount,month
LIABILITY,13,1354956815,2003-06-01
ASSET,1,1530590713,2003-07-01
ASSET,2,3738797632,2003-07-01
ASSET,3,2246704260,2003-07-01
ASSET,4,161518456,2003-07-01
ASSET,5,1793715800,2003-07-01
ASSET,6,113112761,2003-07-01
ASSET,7,9992283357,2003-07-01
ASSET,8,9918483966,2003-07-01
ASSET,9,1416814874,2003-07-01
ASSET,10,1405870998,2003-07-01
LIABILITY,1,9109932798,2003-07-01
LIABILITY,2,1975027288,2003-07-01
LIABILITY,3,16188500,2003-07-01
LIABILITY,4,480714429,2003-07-01
LIABILITY,5,642658383,2003-07-01
LIABILITY,6,243415383,2003-07-01
LIABILITY,7,545531610,2003-07-01
LIABILITY,8,126924821,2003-07-01
LIABILITY,9,16332855705,2003-07-01
LIABILITY,10,912037209,2003-07-01
LIABILITY,11,202098478,2003-07-01
LIABILITY,12,375551398,2003-07-01
LIABILITY,13,1354956815,2003-07-01
ASSET,1,9172117118,2003-09-01
ASSET,2,2321031108,2003-09-01
ASSET,3,16386500,2003-09-01
ASSET,4,1208208266,2003-09-01
ASSET,5,575129208,2003-09-01
ASSET,5,2083014600,2003-09-01
ASSET,6,126850184,2003-09-01
ASSET,7,15605447873,2003-09-01
ASSET,8,0,2003-09-01
ASSET,9,1719567827,2003-09-01
ASSET,NA,NA,2003-09-01
ASSET,5,4554110800,2003-10-01
ASSET,8,9929258080,2003-10-01
ASSET,9,1853863469,2003-10-01
ASSET,10,1599292348,2003-10-01
LIABILITY,NA,NA,2003-10-01
LIABILITY,NA,NA,2003-10-01
LIABILITY,NA,NA,2003-10-01
LIABILITY,NA,NA,2003-10-01
LIABILITY,NA,NA,2003-10-01
LIABILITY,NA,NA,2003-10-01
LIABILITY,NA,NA,2003-10-01
LIABILITY,NA,NA,2003-10-01
LIABILITY,NA,NA,2003-10-01
ASSET,5,5040000000,2003-11-01
ASSET,9,1902286689,2003-11-01
ASSET,10,66746019,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
LIABILITY,NA,NA,2003-11-01
ASSET,5,4005389300,2004-01-01
ASSET,6,402807906,2004-01-01
ASSET,7,9013212329,2004-01-01
ASSET,8,9833563536,2004-01-01
ASSET,9,1995692669,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
LIABILITY,NA,NA,2004-01-01
ASSET,1,1465937395,2004-02-01
ASSET,2,2575230686,2004-02-01
ASSET,3,2079567085,2004-02-01
ASSET,4,800595073,2004-02-01
ASSET,5,2443104200,2004-02-01
ASSET,6,502918036,2004-02-01
ASSET,7,9608307715,2004-02-01
ASSET,8,9813825949,2004-02-01
ASSET,9,1883415799,2004-02-01
ASSET,10,1281573173,2004-02-01
LIABILITY,1,10460532282,2004-02-01
LIABILITY,2,2245095241,2004-02-01
LIABILITY,3,198000,2004-02-01
LIABILITY,4,406286847,2004-02-01
LIABILITY,5,589386754,2004-02-01
LIABILITY,6,157775163,2004-02-01
LIABILITY,7,551060434,2004-02-01
LIABILITY,8,121971446,2004-02-01
LIABILITY,9,15467468646,2004-02-01
LIABILITY,10,1199503376,2004-02-01
LIABILITY,11,181456050,2004-02-01
LIABILITY,12,381906328,2004-02-01
LIABILITY,13,691834544,2004-02-01
ASSET,1,1535952900,2004-03-01
ASSET,2,2466747650,2004-03-01
ASSET,3,2142062266,2004-03-01
ASSET,4,818704781,2004-03-01
ASSET,5,1243632735,2004-03-01
ASSET,6,439218843,2004-03-01
ASSET,7,9932012216,2004-03-01
ASSET,8,9826160685,2004-03-01
ASSET,9,1589200166,2004-03-01
ASSET,10,1277427300,2004-03-01
LIABILITY,1,10621139321,2004-03-01
LIABILITY,2,2158591672,2004-03-01
LIABILITY,3,0,2004-03-01
LIABILITY,4,416076007,2004-03-01
LIABILITY,5,637432849,2004-03-01
LIABILITY,6,153691780,2004-03-01
LIABILITY,7,585560401,2004-03-01
