column,line,subline,item,amount,month
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,33099021,2010-04-01
ASSET,5,1,Main refinancing operations,21468403609,2010-04-01
ASSET,5,2,Longer-term refinancing operations,62608900000,2010-04-01
ASSET,5,3,Marginal lending facility,733000000,2010-04-01
LIABILITY,7,1,Deposits and other liabilities,84345314,2010-04-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,72006329,2010-04-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2010-04-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,881321084,2010-04-01
ASSET,7,1,Securities held for monetary policy purposes,1059522305,2010-04-01
ASSET,7,2,Other securities of euro area residents denominated in euro,16597897312,2010-04-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2010-04-01
ASSET,8,NA,General government long term debt denominated in euro,7318195455,2010-04-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,3973890985,2010-04-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),82603800797,2010-04-01
LIABILITY,10,NA,Other liabilities,812538508,2010-04-01
ASSET,9,1,Participating interest in the ECB,435391713,2010-04-01
LIABILITY,11,NA,Provisions,1949006396,2010-04-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2010-04-01
LIABILITY,12,NA,Revaluation accounts,2187038159,2010-04-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2010-04-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2010-04-01
LIABILITY,13,1,Capital,111243362,2010-04-01
LIABILITY,13,2,Ordinary reserve,111243362,2010-04-01
LIABILITY,13,3,Extraordinary reserve,72500000,2010-04-01
ASSET,10,1,Tangible and intangible fixed assets,762880805,2010-04-01
ASSET,10,2,Other financial assets,29260593,2010-04-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,509257925,2010-04-01
ASSET,10,3,Sundry,1752567449,2010-04-01
LIABILITY,13,5,Other special reserves,1212087,2010-04-01
ASSET,1,NA,Gold and gold receivables,3903299557,2010-05-01
LIABILITY,1,NA,Banknotes in circulation,20856959200,2010-05-01
ASSET,2,1,Receivables from the IMF,908931302,2010-05-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),3228447708,2010-05-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,101551818,2010-05-01
LIABILITY,2,2,Deposit facility,5141500000,2010-05-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,698555848,2010-05-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,6000000,2010-05-01
ASSET,4,1,Balances with banks security investments and loans,213308,2010-05-01
LIABILITY,4,1,General government,7024345059,2010-05-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2010-05-01
LIABILITY,4,2,Other liabilities,45876411,2010-05-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,750503637,2010-05-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,29007062,2010-05-01
ASSET,5,1,Main refinancing operations,17218000000,2010-05-01
ASSET,5,2,Longer-term refinancing operations,72208400000,2010-05-01
ASSET,5,3,Marginal lending facility,7000000,2010-05-01
LIABILITY,7,1,Deposits and other liabilities,84345314,2010-05-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,70745464,2010-05-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2010-05-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,881321084,2010-05-01
ASSET,7,1,Securities held for monetary policy purposes,3073867175,2010-05-01
ASSET,7,2,Other securities of euro area residents denominated in euro,18436306468,2010-05-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2010-05-01
ASSET,8,NA,General government long term debt denominated in euro,7323554917,2010-05-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,4759860250,2010-05-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),79500470411,2010-05-01
LIABILITY,10,NA,Other liabilities,830876093,2010-05-01
ASSET,9,1,Participating interest in the ECB,435391713,2010-05-01
LIABILITY,11,NA,Provisions,1953007348,2010-05-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2010-05-01
LIABILITY,12,NA,Revaluation accounts,2196007540,2010-05-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2010-05-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2010-05-01
LIABILITY,13,1,Capital,111243362,2010-05-01
LIABILITY,13,2,Ordinary reserve,111243362,2010-05-01
LIABILITY,13,3,Extraordinary reserve,72500000,2010-05-01
ASSET,10,1,Tangible and intangible fixed assets,762018762,2010-05-01
ASSET,10,2,Other financial assets,29260593,2010-05-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,509257925,2010-05-01
ASSET,10,3,Sundry,1784976337,2010-05-01
LIABILITY,13,5,Other special reserves,1212087,2010-05-01
ASSET,1,NA,Gold and gold receivables,4784847396,2010-06-01
LIABILITY,1,NA,Banknotes in circulation,21032276300,2010-06-01
ASSET,2,1,Receivables from the IMF,974670551,2010-06-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),3728310393,2010-06-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,80576339,2010-06-01
LIABILITY,2,2,Deposit facility,6252000000,2010-06-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,737698089,2010-06-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,6000000,2010-06-01
ASSET,4,1,Balances with banks security investments and loans,214259,2010-06-01
LIABILITY,4,1,General government,2865932026,2010-06-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2010-06-01
LIABILITY,4,2,Other liabilities,40288043,2010-06-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,796637054,2010-06-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,28803480,2010-06-01
ASSET,5,1,Main refinancing operations,18094000000,2010-06-01
ASSET,5,2,Longer-term refinancing operations,75723400000,2010-06-01
ASSET,5,3,Marginal lending facility,0,2010-06-01
LIABILITY,7,1,Deposits and other liabilities,91807241,2010-06-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,73955227,2010-06-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2010-06-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,942429127,2010-06-01
