column,line,subline,item,amount,month
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,335939672,2015-04-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2015-04-01
LIABILITY,2,5,Deposits related to margin calls,0,2015-04-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2015-04-01
ASSET,4,1,Balances with banks security investments and loans,23881,2015-04-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2015-04-01
LIABILITY,4,1,General government,1106956288,2015-04-01
LIABILITY,4,2,Other liabilities,450563035,2015-04-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1489644784,2015-04-01
ASSET,5,1,Main refinancing operations,29441000000,2015-04-01
ASSET,5,2,Longer-term refinancing operations,9000000000,2015-04-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,15372779,2015-04-01
ASSET,5,3,Fine-tuning reverse operations,0,2015-04-01
ASSET,5,4,Structural reverse operations,0,2015-04-01
ASSET,5,5,Marginal lending facility,30000000,2015-04-01
ASSET,5,6,Credits related to margin calls,0,2015-04-01
LIABILITY,7,1,Deposits and other liabilities,2698,2015-04-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2015-04-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,74371699442,2015-04-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,1003768879,2015-04-01
ASSET,7,1,Securities held for monetary policy purposes,9277700326,2015-04-01
ASSET,7,2,Other securities of euro area residents denominated in euro,20864299698,2015-04-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2015-04-01
ASSET,8,NA,General government long-term debt denominated in euro,5323575423,2015-04-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,16181572545,2015-04-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),98769965172,2015-04-01
LIABILITY,9,4,Other liabilities within the Eurosystem (net),0,2015-04-01
LIABILITY,10,NA,Other liabilities,790632668,2015-04-01
ASSET,9,1,Participating interest in the ECB,564765496,2015-04-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1178260606,2015-04-01
LIABILITY,11,NA,Provisions,6790149080,2015-04-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2015-04-01
LIABILITY,12,NA,Revaluation accounts,3706426878,2015-04-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2015-04-01
ASSET,9,5,Other claims within the Eurosystem (net),0,2015-04-01
LIABILITY,13,1,Capital,111243362,2015-04-01
LIABILITY,13,2,Ordinary reserve,111243362,2015-04-01
ASSET,10,1,Tangible and intangible fixed assets,806558630,2015-04-01
LIABILITY,13,3,Extraordinary reserve,84500000,2015-04-01
ASSET,10,2,Other financial assets,90548556,2015-04-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2015-04-01
ASSET,10,3,Sundry,1335693916,2015-04-01
LIABILITY,13,5,Other special reserves,1265092,2015-04-01
ASSET,1,NA,Gold and gold receivables,5274702741,2015-05-01
LIABILITY,1,NA,Banknotes in circulation,27422024975,2015-05-01
ASSET,2,1,Receivables from the International Monetary Fund (IMF),363546422,2015-05-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1494986867,2015-05-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,1023389579,2015-05-01
LIABILITY,2,2,Deposit facility,0,2015-05-01
LIABILITY,2,3,Fixed-term deposits,0,2015-05-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,1065742716,2015-05-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2015-05-01
LIABILITY,2,5,Deposits related to margin calls,0,2015-05-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2015-05-01
ASSET,4,1,Balances with banks security investments and loans,23881,2015-05-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2015-05-01
LIABILITY,4,1,General government,1048639877,2015-05-01
LIABILITY,4,2,Other liabilities,460972855,2015-05-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1456959722,2015-05-01
ASSET,5,1,Main refinancing operations,29800000000,2015-05-01
ASSET,5,2,Longer-term refinancing operations,9000000000,2015-05-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,15334439,2015-05-01
ASSET,5,3,Fine-tuning reverse operations,0,2015-05-01
ASSET,5,4,Structural reverse operations,0,2015-05-01
ASSET,5,5,Marginal lending facility,25000000,2015-05-01
ASSET,5,6,Credits related to margin calls,0,2015-05-01
LIABILITY,7,1,Deposits and other liabilities,2698,2015-05-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2015-05-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,77576838447,2015-05-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,1003768879,2015-05-01
ASSET,7,1,Securities held for monetary policy purposes,10870209756,2015-05-01
ASSET,7,2,Other securities of euro area residents denominated in euro,18957844293,2015-05-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2015-05-01
ASSET,8,NA,General government long-term debt denominated in euro,5323575423,2015-05-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,17786951780,2015-05-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),100316184420,2015-05-01
LIABILITY,9,4,Other liabilities within the Eurosystem (net),0,2015-05-01
LIABILITY,10,NA,Other liabilities,945199043,2015-05-01
ASSET,9,1,Participating interest in the ECB,564765496,2015-05-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1178260606,2015-05-01
LIABILITY,11,NA,Provisions,6790512543,2015-05-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2015-05-01
LIABILITY,12,NA,Revaluation accounts,3706426878,2015-05-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2015-05-01
ASSET,9,5,Other claims within the Eurosystem (net),0,2015-05-01
LIABILITY,13,1,Capital,111243362,2015-05-01
LIABILITY,13,2,Ordinary reserve,111243362,2015-05-01
ASSET,10,1,Tangible and intangible fixed assets,805819903,2015-05-01
LIABILITY,13,3,Extraordinary reserve,84500000,2015-05-01
ASSET,10,2,Other financial assets,91660374,2015-05-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2015-05-01
ASSET,10,3,Sundry,1342085011,2015-05-01
LIABILITY,13,5,Other special reserves,1265092,2015-05-01
ASSET,1,NA,Gold and gold receivables,5008752890,2015-06-01
LIABILITY,1,NA,Banknotes in circulation,27688545650,2015-06-01
ASSET,2,1,Receivables from the International Monetary Fund (IMF),341066164,2015-06-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1589883963,2015-06-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,1014518795,2015-06-01
LIABILITY,2,2,Deposit facility,0,2015-06-01
LIABILITY,2,3,Fixed-term deposits,0,2015-06-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,1238889034,2015-06-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2015-06-01
LIABILITY,2,5,Deposits related to margin calls,115050000,2015-06-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2015-06-01
ASSET,4,1,Balances with banks security investments and loans,23881,2015-06-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2015-06-01
LIABILITY,4,1,General government,592284629,2015-06-01
LIABILITY,4,2,Other liabilities,627357349,2015-06-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1448830905,2015-06-01
ASSET,5,1,Main refinancing operations,28940000000,2015-06-01
ASSET,5,2,Longer-term refinancing operations,10500000000,2015-06-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,14766335,2015-06-01
ASSET,5,3,Fine-tuning reverse operations,0,2015-06-01
ASSET,5,4,Structural reverse operations,0,2015-06-01
ASSET,5,5,Marginal lending facility,363000000,2015-06-01
ASSET,5,6,Credits related to margin calls,0,2015-06-01
LIABILITY,7,1,Deposits and other liabilities,2594,2015-06-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2015-06-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,86770571251,2015-06-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,983652107,2015-06-01
ASSET,7,1,Securities held for monetary policy purposes,12309372795,2015-06-01
ASSET,7,2,Other securities of euro area residents denominated in euro,19854066080,2015-06-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2015-06-01
ASSET,8,NA,General government long-term debt denominated in euro,5302447086,2015-06-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,22792620640,2015-06-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),107702107367,2015-06-01
LIABILITY,9,4,Other liabilities within the Eurosystem (net),0,2015-06-01
LIABILITY,10,NA,Other liabilities,1080701393,2015-06-01
ASSET,9,1,Participating interest in the ECB,564765496,2015-06-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1178260606,2015-06-01
LIABILITY,11,NA,Provisions,6790875945,2015-06-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2015-06-01
LIABILITY,12,NA,Revaluation accounts,3386859192,2015-06-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2015-06-01
ASSET,9,5,Other claims within the Eurosystem (net),0,2015-06-01
LIABILITY,13,1,Capital,111243362,2015-06-01
LIABILITY,13,2,Ordinary reserve,111243362,2015-06-01
ASSET,10,1,Tangible and intangible fixed assets,805636066,2015-06-01
LIABILITY,13,3,Extraordinary reserve,84500000,2015-06-01
ASSET,10,2,Other financial assets,29126074,2015-06-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2015-06-01
ASSET,10,3,Sundry,1408541523,2015-06-01
LIABILITY,13,5,Other special reserves,1265092,2015-06-01
ASSET,1,NA,Gold and gold receivables,5008356740,2015-07-01
LIABILITY,1,NA,Banknotes in circulation,28086399975,2015-07-01
ASSET,2,1,Receivables from the International Monetary Fund (IMF),525810224,2015-07-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1530481150,2015-07-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,1038770744,2015-07-01
LIABILITY,2,2,Deposit facility,0,2015-07-01
LIABILITY,2,3,Fixed-term deposits,0,2015-07-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,1397070420,2015-07-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2015-07-01
LIABILITY,2,5,Deposits related to margin calls,136870000,2015-07-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2015-07-01
ASSET,4,1,Balances with banks security investments and loans,23881,2015-07-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2015-07-01
LIABILITY,4,1,General government,1441493980,2015-07-01
LIABILITY,4,2,Other liabilities,707266096,2015-07-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1441103594,2015-07-01
ASSET,5,1,Main refinancing operations,29423000000,2015-07-01
ASSET,5,2,Longer-term refinancing operations,10500000000,2015-07-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,199521100,2015-07-01
ASSET,5,3,Fine-tuning reverse operations,0,2015-07-01
ASSET,5,4,Structural reverse operations,0,2015-07-01
ASSET,5,5,Marginal lending facility,70000000,2015-07-01
ASSET,5,6,Credits related to margin calls,0,2015-07-01
LIABILITY,7,1,Deposits and other liabilities,2594,2015-07-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2015-07-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,85292145105,2015-07-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,983652107,2015-07-01
ASSET,7,1,Securities held for monetary policy purposes,13793980990,2015-07-01
ASSET,7,2,Other securities of euro area residents denominated in euro,19114043068,2015-07-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2015-07-01
ASSET,8,NA,General government long-term debt denominated in euro,4832407071,2015-07-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,22048003100,2015-07-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),106126863711,2015-07-01
LIABILITY,9,4,Other liabilities within the Eurosystem (net),0,2015-07-01
LIABILITY,10,NA,Other liabilities,1239349715,2015-07-01
ASSET,9,1,Participating interest in the ECB,564765496,2015-07-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1178260606,2015-07-01
LIABILITY,11,NA,Provisions,6791241805,2015-07-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2015-07-01
LIABILITY,12,NA,Revaluation accounts,3386859192,2015-07-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2015-07-01
ASSET,9,5,Other claims within the Eurosystem (net),0,2015-07-01
LIABILITY,13,1,Capital,111243362,2015-07-01
LIABILITY,13,2,Ordinary reserve,111243362,2015-07-01
ASSET,10,1,Tangible and intangible fixed assets,804877383,2015-07-01
LIABILITY,13,3,Extraordinary reserve,84500000,2015-07-01
ASSET,10,2,Other financial assets,29126074,2015-07-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2015-07-01
ASSET,10,3,Sundry,1361969989,2015-07-01
LIABILITY,13,5,Other special reserves,1265092,2015-07-01
ASSET,1,NA,Gold and gold receivables,5007997531,2015-08-01
LIABILITY,1,NA,Banknotes in circulation,28019324675,2015-08-01
ASSET,2,1,Receivables from the International Monetary Fund (IMF),340422775,2015-08-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1290327067,2015-08-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,1075235525,2015-08-01
LIABILITY,2,2,Deposit facility,0,2015-08-01
LIABILITY,2,3,Fixed-term deposits,0,2015-08-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,1312802204,2015-08-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2015-08-01
LIABILITY,2,5,Deposits related to margin calls,139620000,2015-08-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2015-08-01
ASSET,4,1,Balances with banks security investments and loans,23881,2015-08-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2015-08-01
LIABILITY,4,1,General government,4090541547,2015-08-01
LIABILITY,4,2,Other liabilities,829763334,2015-08-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1454145001,2015-08-01
ASSET,5,1,Main refinancing operations,29518000000,2015-08-01
ASSET,5,2,Longer-term refinancing operations,10500000000,2015-08-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,14160447,2015-08-01
ASSET,5,3,Fine-tuning reverse operations,0,2015-08-01
ASSET,5,4,Structural reverse operations,0,2015-08-01
ASSET,5,5,Marginal lending facility,90000000,2015-08-01
ASSET,5,6,Credits related to margin calls,0,2015-08-01
LIABILITY,7,1,Deposits and other liabilities,2594,2015-08-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2015-08-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,83951533437,2015-08-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,983652107,2015-08-01
ASSET,7,1,Securities held for monetary policy purposes,14796235741,2015-08-01
ASSET,7,2,Other securities of euro area residents denominated in euro,17612568312,2015-08-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2015-08-01
ASSET,8,NA,General government long-term debt denominated in euro,4832407071,2015-08-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,22161915000,2015-08-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),101644659382,2015-08-01
LIABILITY,9,4,Other liabilities within the Eurosystem (net),0,2015-08-01
LIABILITY,10,NA,Other liabilities,1405160686,2015-08-01
ASSET,9,1,Participating interest in the ECB,564765496,2015-08-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1178260606,2015-08-01
LIABILITY,11,NA,Provisions,6791312443,2015-08-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2015-08-01
LIABILITY,12,NA,Revaluation accounts,3386859192,2015-08-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2015-08-01
ASSET,9,5,Other claims within the Eurosystem (net),0,2015-08-01
LIABILITY,13,1,Capital,111243362,2015-08-01
LIABILITY,13,2,Ordinary reserve,111243362,2015-08-01
ASSET,10,1,Tangible and intangible fixed assets,803845858,2015-08-01
LIABILITY,13,3,Extraordinary reserve,84500000,2015-08-01
ASSET,10,2,Other financial assets,29096384,2015-08-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2015-08-01
ASSET,10,3,Sundry,1413748326,2015-08-01
LIABILITY,13,5,Other special reserves,1265092,2015-08-01
ASSET,1,NA,Gold and gold receivables,4793441559,2015-09-01
LIABILITY,1,NA,Banknotes in circulation,27963410875,2015-09-01
ASSET,2,1,Receivables from the International Monetary Fund (IMF),339607045,2015-09-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1117163144,2015-09-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,1152552787,2015-09-01
LIABILITY,2,2,Deposit facility,0,2015-09-01
LIABILITY,2,3,Fixed-term deposits,0,2015-09-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,1315502902,2015-09-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2015-09-01
LIABILITY,2,5,Deposits related to margin calls,142840000,2015-09-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2015-09-01
ASSET,4,1,Balances with banks security investments and loans,23881,2015-09-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2015-09-01
LIABILITY,4,1,General government,2187523732,2015-09-01
LIABILITY,4,2,Other liabilities,905604836,2015-09-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1434578028,2015-09-01
ASSET,5,1,Main refinancing operations,26983000000,2015-09-01
ASSET,5,2,Longer-term refinancing operations,12000000000,2015-09-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,10221504,2015-09-01
ASSET,5,3,Fine-tuning reverse operations,0,2015-09-01
ASSET,5,4,Structural reverse operations,0,2015-09-01
ASSET,5,5,Marginal lending facility,31000000,2015-09-01
ASSET,5,6,Credits related to margin calls,0,2015-09-01
LIABILITY,7,1,Deposits and other liabilities,2591,2015-09-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2015-09-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,82374511185,2015-09-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,979673600,2015-09-01
ASSET,7,1,Securities held for monetary policy purposes,16356840803,2015-09-01
ASSET,7,2,Other securities of euro area residents denominated in euro,19100097879,2015-09-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2015-09-01
ASSET,8,NA,General government long-term debt denominated in euro,4829106364,2015-09-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,21297143070,2015-09-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),104919528306,2015-09-01
LIABILITY,9,4,Other liabilities within the Eurosystem (net),0,2015-09-01
LIABILITY,10,NA,Other liabilities,1514944566,2015-09-01
ASSET,9,1,Participating interest in the ECB,564765496,2015-09-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1178260606,2015-09-01
LIABILITY,11,NA,Provisions,6791525949,2015-09-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2015-09-01
LIABILITY,12,NA,Revaluation accounts,3171495621,2015-09-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2015-09-01
ASSET,9,5,Other claims within the Eurosystem (net),0,2015-09-01
LIABILITY,13,1,Capital,111243362,2015-09-01
LIABILITY,13,2,Ordinary reserve,111243362,2015-09-01
ASSET,10,1,Tangible and intangible fixed assets,803010897,2015-09-01
LIABILITY,13,3,Extraordinary reserve,84500000,2015-09-01
ASSET,10,2,Other financial assets,29096384,2015-09-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2015-09-01
ASSET,10,3,Sundry,1400337706,2015-09-01
LIABILITY,13,5,Other special reserves,1265092,2015-09-01
ASSET,1,NA,Gold and gold receivables,4793972361,2015-10-01
LIABILITY,1,NA,Banknotes in circulation,28003485975,2015-10-01
ASSET,2,1,Receivables from the International Monetary Fund (IMF),339607045,2015-10-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1171247448,2015-10-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,1280558046,2015-10-01
LIABILITY,2,2,Deposit facility,0,2015-10-01
LIABILITY,2,3,Fixed-term deposits,0,2015-10-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,1284738715,2015-10-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2015-10-01
LIABILITY,2,5,Deposits related to margin calls,399000000,2015-10-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2015-10-01
ASSET,4,1,Balances with banks security investments and loans,23881,2015-10-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2015-10-01
LIABILITY,4,1,General government,3699736396,2015-10-01
LIABILITY,4,2,Other liabilities,944943353,2015-10-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1429808213,2015-10-01
ASSET,5,1,Main refinancing operations,24578000000,2015-10-01
ASSET,5,2,Longer-term refinancing operations,12000000000,2015-10-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,10221338,2015-10-01
ASSET,5,3,Fine-tuning reverse operations,0,2015-10-01
ASSET,5,4,Structural reverse operations,0,2015-10-01
ASSET,5,5,Marginal lending facility,18000000,2015-10-01
ASSET,5,6,Credits related to margin calls,0,2015-10-01
LIABILITY,7,1,Deposits and other liabilities,2591,2015-10-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2015-10-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,82786174764,2015-10-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,979673600,2015-10-01
ASSET,7,1,Securities held for monetary policy purposes,17840341327,2015-10-01
ASSET,7,2,Other securities of euro area residents denominated in euro,19363978862,2015-10-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2015-10-01
ASSET,8,NA,General government long-term debt denominated in euro,4829106364,2015-10-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,20926558205,2015-10-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),103046834313,2015-10-01
LIABILITY,9,4,Other liabilities within the Eurosystem (net),0,2015-10-01
LIABILITY,10,NA,Other liabilities,1673737512,2015-10-01
ASSET,9,1,Participating interest in the ECB,564765496,2015-10-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1178260606,2015-10-01
LIABILITY,11,NA,Provisions,6791499953,2015-10-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2015-10-01
LIABILITY,12,NA,Revaluation accounts,3171495621,2015-10-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2015-10-01
ASSET,9,5,Other claims within the Eurosystem (net),0,2015-10-01
LIABILITY,13,1,Capital,111243362,2015-10-01
LIABILITY,13,2,Ordinary reserve,111243362,2015-10-01
ASSET,10,1,Tangible and intangible fixed assets,802496035,2015-10-01
LIABILITY,13,3,Extraordinary reserve,84500000,2015-10-01
ASSET,10,2,Other financial assets,29096384,2015-10-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2015-10-01
ASSET,10,3,Sundry,1374624304,2015-10-01
LIABILITY,13,5,Other special reserves,1265092,2015-10-01
ASSET,1,NA,Gold and gold receivables,4794455089,2015-11-01
LIABILITY,1,NA,Banknotes in circulation,28134899350,2015-11-01
ASSET,2,1,Receivables from the International Monetary Fund (IMF),339516493,2015-11-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1276539130,2015-11-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,1237828420,2015-11-01
LIABILITY,2,2,Deposit facility,0,2015-11-01
LIABILITY,2,3,Fixed-term deposits,0,2015-11-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,1295923999,2015-11-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2015-11-01
LIABILITY,2,5,Deposits related to margin calls,140600000,2015-11-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2015-11-01
ASSET,4,1,Balances with banks security investments and loans,23881,2015-11-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2015-11-01
LIABILITY,4,1,General government,5127009264,2015-11-01
LIABILITY,4,2,Other liabilities,1093393572,2015-11-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1434775939,2015-11-01
ASSET,5,1,Main refinancing operations,23900000000,2015-11-01
ASSET,5,2,Longer-term refinancing operations,12000000000,2015-11-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,10201646,2015-11-01
ASSET,5,3,Fine-tuning reverse operations,0,2015-11-01
ASSET,5,4,Structural reverse operations,0,2015-11-01
ASSET,5,5,Marginal lending facility,18000000,2015-11-01
ASSET,5,6,Credits related to margin calls,0,2015-11-01
LIABILITY,7,1,Deposits and other liabilities,2591,2015-11-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2015-11-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,77488375274,2015-11-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,979673600,2015-11-01
ASSET,7,1,Securities held for monetary policy purposes,19446139516,2015-11-01
ASSET,7,2,Other securities of euro area residents denominated in euro,19242291831,2015-11-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2015-11-01
ASSET,8,NA,General government long-term debt denominated in euro,4829106364,2015-11-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,20508324220,2015-11-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),97254848591,2015-11-01
LIABILITY,9,4,Other liabilities within the Eurosystem (net),0,2015-11-01
LIABILITY,10,NA,Other liabilities,1823143174,2015-11-01
ASSET,9,1,Participating interest in the ECB,564765496,2015-11-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1178260606,2015-11-01
LIABILITY,11,NA,Provisions,6791831855,2015-11-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2015-11-01
LIABILITY,12,NA,Revaluation accounts,3171495621,2015-11-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2015-11-01
ASSET,9,5,Other claims within the Eurosystem (net),0,2015-11-01
LIABILITY,13,1,Capital,111243362,2015-11-01
LIABILITY,13,2,Ordinary reserve,111243362,2015-11-01
ASSET,10,1,Tangible and intangible fixed assets,801386246,2015-11-01
LIABILITY,13,3,Extraordinary reserve,84500000,2015-11-01
ASSET,10,2,Other financial assets,29096384,2015-11-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2015-11-01
ASSET,10,3,Sundry,1397068626,2015-11-01
LIABILITY,13,5,Other special reserves,1265092,2015-11-01
ASSET,1,NA,Gold and gold receivables,4656229693,2016-01-01
LIABILITY,1,NA,Banknotes in circulation,28238887325,2016-01-01
ASSET,2,1,Receivables from the International Monetary Fund (IMF),635957699,2016-01-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1430916869,2016-01-01
