accounting_period,column,line,subline,item,amount
2002-04-30,ASSET,7,NA,Securities of euro area residents denominated in euro,4317301976
2002-04-30,ASSET,8,NA,General government debt denominated in euro,11051018439
2002-04-30,ASSET,9,1,Participation in the capital and reserves of the ECB,388614874
2002-04-30,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1028200000
2002-04-30,ASSET,9,3,Claims related to promissory notes backing the issuance of ECB debt certificates,0
2002-04-30,ASSET,9,4,Claims related to TARGET accounts (net),0
2002-04-30,ASSET,9,5,Other claims within the Eurosystem,0
2002-04-30,ASSET,10,1,Premises and equipment,127577343
2002-04-30,ASSET,10,2,Sundry items,1281822122
2002-04-30,LIABILITY,1,NA,Banknotes in circulation,6700817940
2002-04-30,LIABILITY,2,1,Current accounts (covering the minimum reserve system),1153289936
2002-04-30,LIABILITY,2,2,Deposit facility,145000
2002-04-30,LIABILITY,2,3,Fixed-term deposits,0
2002-04-30,LIABILITY,2,4,Fine-tuning reverse operations,0
2002-04-30,LIABILITY,2,5,Deposits related to margin calls,0
2002-04-30,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,2182293650
2002-04-30,LIABILITY,4,1,General government,462478506
2002-04-30,LIABILITY,4,2,Other liabilities,90933327
2002-04-30,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,798411828
2002-04-30,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,391802773
2002-04-30,LIABILITY,7,1,"Deposits, balances and other liabilities",1671157501
2002-04-30,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2002-04-30,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,148036314
2002-04-30,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2002-04-30,LIABILITY,9,2,Liabilities related to TARGET accounts (net),12934909209
2002-04-30,LIABILITY,9,3,Other liabilities within the Eurosystem,2090571445
2002-04-30,LIABILITY,10,NA,Other liabilities,1113072335
2002-04-30,LIABILITY,11,NA,Provisions,188018152
2002-04-30,LIABILITY,12,NA,Revaluation accounts,550854895
2002-04-30,LIABILITY,13,1,Capital,49844397
2002-04-30,LIABILITY,13,2,Regular reserve,49844397
2002-04-30,LIABILITY,13,3,Special reserves,2073091698
2002-05-31,ASSET,1,NA,Gold and gold receivables,1685713547
2002-05-31,ASSET,2,1,Receivables from the IMF,439692972
2002-05-31,ASSET,2,2,"Balances with banks, security investments, external loans and other external assets",7095094175
2002-05-31,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,4369607048
2002-05-31,ASSET,4,1,"Balances with banks, security investments and loans",10560423
2002-05-31,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2002-05-31,ASSET,5,1,Main refinancing operations,865740499
2002-05-31,ASSET,5,2,Longer-term refinancing operations,0
2002-05-31,ASSET,5,3,Fine-tuning reverse operations,0
2002-05-31,ASSET,5,4,Structural reverse operations,0
2002-05-31,ASSET,5,5,Marginal lending facility,1100000
2002-05-31,ASSET,5,6,Credits related to margin calls,0
2002-05-31,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,199214468
2002-05-31,ASSET,7,NA,Securities of euro area residents denominated in euro,4352747246
2002-05-31,ASSET,8,NA,General government debt denominated in euro,11047207325
2002-05-31,ASSET,9,1,Participation in the capital and reserves of the ECB,388614874
2002-05-31,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1028200000
2002-05-31,ASSET,9,3,Claims related to promissory notes backing the issuance of ECB debt certificates,0
2002-05-31,ASSET,9,4,Claims related to TARGET accounts (net),0
2002-05-31,ASSET,9,5,Other claims within the Eurosystem,0
2002-05-31,ASSET,10,1,Premises and equipment,129500422
2002-05-31,ASSET,10,2,Sundry items,1190421137
2002-05-31,LIABILITY,1,NA,Banknotes in circulation,6939979199
2002-05-31,LIABILITY,2,1,Current accounts (covering the minimum reserve system),1898566592
2002-05-31,LIABILITY,2,2,Deposit facility,1532000
2002-05-31,LIABILITY,2,3,Fixed-term deposits,0
2002-05-31,LIABILITY,2,4,Fine-tuning reverse operations,0
2002-05-31,LIABILITY,2,5,Deposits related to margin calls,0
2002-05-31,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,2319330722
2002-05-31,LIABILITY,4,1,General government,356951096
2002-05-31,LIABILITY,4,2,Other liabilities,36421421
2002-05-31,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,782463217
2002-05-31,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,395822251
2002-05-31,LIABILITY,7,1,"Deposits, balances and other liabilities",1671157501
2002-05-31,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2002-05-31,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,148036314
2002-05-31,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2002-05-31,LIABILITY,9,2,Liabilities related to TARGET accounts (net),13072910859
2002-05-31,LIABILITY,9,3,Other liabilities within the Eurosystem,1204640200
2002-05-31,LIABILITY,10,NA,Other liabilities,1051008755
2002-05-31,LIABILITY,11,NA,Provisions,181922313
2002-05-31,LIABILITY,12,NA,Revaluation accounts,552989582
2002-05-31,LIABILITY,13,1,Capital,66746019
2002-05-31,LIABILITY,13,2,Regular reserve,49844397
2002-05-31,LIABILITY,13,3,Special reserves,2073091698
2002-06-30,ASSET,1,NA,Gold and gold receivables,1550669253
2002-06-30,ASSET,2,1,Receivables from the IMF,391079144
2002-06-30,ASSET,2,2,"Balances with banks, security investments, external loans and other external assets",6511927330
2002-06-30,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,4149148138
2002-06-30,ASSET,4,1,"Balances with banks, security investments and loans",16048669
2002-06-30,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2002-06-30,ASSET,5,1,Main refinancing operations,768929435
2002-06-30,ASSET,5,2,Longer-term refinancing operations,6000000
2002-06-30,ASSET,5,3,Fine-tuning reverse operations,0
2002-06-30,ASSET,5,4,Structural reverse operations,0
2002-06-30,ASSET,5,5,Marginal lending facility,900000
2002-06-30,ASSET,5,6,Credits related to margin calls,0
2002-06-30,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,137018407
2002-06-30,ASSET,7,NA,Securities of euro area residents denominated in euro,4479373998
2002-06-30,ASSET,8,NA,General government debt denominated in euro,11033453694
2002-06-30,ASSET,9,1,Participation in the capital and reserves of the ECB,388614874
2002-06-30,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1028200000
2002-06-30,ASSET,9,3,Claims related to promissory notes backing the issuance of ECB debt certificates,0
2002-06-30,ASSET,9,4,Claims related to TARGET accounts (net),0
2002-06-30,ASSET,9,5,Other claims within the Eurosystem,0
2002-06-30,ASSET,10,1,Premises and equipment,129983125
2002-06-30,ASSET,10,2,Sundry items,1879675447
2002-06-30,LIABILITY,1,NA,Banknotes in circulation,7178072195
2002-06-30,LIABILITY,2,1,Current accounts (covering the minimum reserve system),1342348898
2002-06-30,LIABILITY,2,2,Deposit facility,535000
2002-06-30,LIABILITY,2,3,Fixed-term deposits,0
2002-06-30,LIABILITY,2,4,Fine-tuning reverse operations,0
2002-06-30,LIABILITY,2,5,Deposits related to margin calls,0
2002-06-30,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,2019158976
2002-06-30,LIABILITY,4,1,General government,348555732
2002-06-30,LIABILITY,4,2,Other liabilities,34830818
2002-06-30,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,790106182
2002-06-30,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,335298009
2002-06-30,LIABILITY,7,1,"Deposits, balances and other liabilities",1623406599
2002-06-30,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2002-06-30,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,138077077
2002-06-30,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2002-06-30,LIABILITY,9,2,Liabilities related to TARGET accounts (net),13887025889
2002-06-30,LIABILITY,9,3,Other liabilities within the Eurosystem,1161490580
2002-06-30,LIABILITY,10,NA,Other liabilities,1079471147
2002-06-30,LIABILITY,11,NA,Provisions,181920775
2002-06-30,LIABILITY,12,NA,Revaluation accounts,158719169
2002-06-30,LIABILITY,13,1,Capital,66746019
2002-06-30,LIABILITY,13,2,Regular reserve,49844397
2002-06-30,LIABILITY,13,3,Special reserves,2075414052
2002-07-31,ASSET,1,NA,Gold and gold receivables,1550604487
2002-07-31,ASSET,2,1,Receivables from the IMF,405456940
2002-07-31,ASSET,2,2,"Balances with banks, security investments, external loans and other external assets",6792843103
2002-07-31,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,4032646230
2002-07-31,ASSET,4,1,"Balances with banks, security investments and loans",45027244
2002-07-31,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2002-07-31,ASSET,5,1,Main refinancing operations,1530499670
2002-07-31,ASSET,5,2,Longer-term refinancing operations,6000000
2002-07-31,ASSET,5,3,Fine-tuning reverse operations,0
2002-07-31,ASSET,5,4,Structural reverse operations,0
2002-07-31,ASSET,5,5,Marginal lending facility,0
2002-07-31,ASSET,5,6,Credits related to margin calls,0
2002-07-31,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,158085988
2002-07-31,ASSET,7,NA,Securities of euro area residents denominated in euro,4470864858
2002-07-31,ASSET,8,NA,General government debt denominated in euro,10996339566
2002-07-31,ASSET,9,1,Participation in the capital and reserves of the ECB,388614874
2002-07-31,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1028200000
2002-07-31,ASSET,9,3,Claims related to promissory notes backing the issuance of ECB debt certificates,0
2002-07-31,ASSET,9,4,Claims related to TARGET accounts (net),0
2002-07-31,ASSET,9,5,Other claims within the Eurosystem,0
2002-07-31,ASSET,10,1,Premises and equipment,132347846
